Sample	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	normal	tumor	tumor	normal	normal	tumor	tumor	tumor	tumor	normal	tumor	normal	normal	tumor	tumor	normal	normal	tumor	tumor	tumor	tumor	normal	tumor	normal
Class	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	2	1	1	2	2	2	2	1	2	1
1	0.680356908	0.830940093	-1.199706431	-6.01E-02	-1.592923662	-2.179107805	0.24637224	-1.07951946	0.872775626	-0.454514557	1.95710283	1.844515914	-0.838374559	-0.584319366	-0.617862455	-0.302715302	0.252173388	-0.640957715	-0.406129295	-0.868009606	0.344794481	0.203182505	-0.974497396	-2.808740828	0.753886648	-0.17898631	-0.223780615	0.979017552	1.70104291	1.639702361	0.724274513	-0.571855781	0.172876904	0.614082453	-0.531160771	-0.794329849	-0.36990361	-0.981895204	-1.304679987	0.821756235	-1.215935271	-7.96E-02	1.348086884	1.920172482	0.900807051	1.876316059	0.188496529	-3.92E-02	-1.89E-02	0.244602015	0.161240359	1.380019109	0.41617767	-0.995336096	-0.241594858	-0.808444894	-0.744513178	-0.590413609	0.817742859	0.113487156	-6.45E-02	0.356392781
2	0.424462464	0.872693789	0.952413817	1.203586628	-0.428501928	-1.80662895	-0.379242053	-0.771048875	0.96699095	0.113930824	-0.739747306	1.361305037	0.301227318	0.111646917	0.321337344	-0.473065983	-1.687105321	-0.715512396	-0.339671861	-2.050896104	0.790785746	0.852719456	-1.542921085	-1.637572988	0.416070941	-0.39894728	-0.397055092	1.690389763	1.627072525	1.130667062	1.503020025	-2.565068063	-1.496809564	1.70512675	-0.645736535	-0.782691463	1.77036839	-1.343713351	0.265488703	0.438133368	0.501656116	0.315888234	-0.5280865	-0.623680323	0.857180342	-0.453645946	0.462919905	-0.187399719	-0.403682258	0.375547516	0.118969059	1.326652524	0.770023494	0.222808252	-0.616928213	-0.945960193	0.715668804	-0.163072177	0.906407635	-0.563507621	-0.252771723	-0.452488826
3	0.303625299	0.592749811	0.794971658	1.015460645	-0.177760754	-1.828548217	5.02E-03	-0.53887573	0.521967553	-0.229877952	-0.985077458	1.046341421	0.544341617	0.207448631	0.316178442	-0.744125724	-1.75774101	-0.972799708	-0.195523695	-2.257844958	0.655548103	0.77362224	-1.767966339	-1.789359734	0.594322763	-9.90E-02	-0.1533482	1.7989994	1.573676992	0.935081628	1.583790286	-2.275673206	-1.321982661	1.690866656	-0.498157631	-0.474467072	1.579152093	-1.077442445	0.221403599	0.460854794	0.708832407	0.20980455	-0.501674954	-0.410634294	1.121728745	-0.239902348	0.409515079	-3.55E-02	-0.696391732	0.298980444	0.221625504	1.453474361	1.198305076	0.45888927	-0.907800043	-1.179020705	0.620333844	-1.64E-02	1.025095818	-0.782902764	-0.379264858	-0.646944555
4	0.276075942	9.03E-02	0.581066582	0.229751551	-5.75E-02	-0.306965548	1.284279666	0.449437194	2.043103701	1.345872454	2.397030387	1.877415423	-0.13924994	-0.467298152	-0.213728854	-0.700126515	-0.674320755	-0.845770334	0.462122463	0.789360618	0.600319102	0.267126252	-1.463196412	-2.290662403	0.126071221	-0.559800755	-0.734380829	0.68286264	1.682385833	1.382163268	1.156574166	-0.242929894	-7.21E-02	0.472847796	-0.417406463	-1.592218806	1.484112909	-1.796283781	-1.99673817	-0.200174102	-2.005773394	0.216940998	0.885486778	0.868337418	0.667825104	0.994548797	6.18E-02	-0.65132905	-0.741963072	-9.63E-02	-0.234207911	2.43E-02	-0.777998503	-0.245270366	-0.468752912	-0.647884843	0.11555145	-1.709492299	-0.257228827	-0.635431589	-0.233499412	-3.90E-02
5	-0.674409161	-0.654410015	-1.920395599	-0.668944352	-0.470890394	-0.902869062	-0.191714984	-0.847376578	1.605155309	-3.53E-02	1.830626575	0.631307481	0.397745644	0.246281978	0.37808159	1.859449298	0.557639043	0.311554427	-0.187956165	-0.279797333	-1.264521145	-1.109046939	1.140622161	-0.569604192	0.890568439	-1.252377055	-1.262835701	0.677354649	-0.113960399	0.33989868	1.085247533	-0.735957577	0.171600633	0.548973163	-1.367352205	0.413951801	-1.385452409	0.817192215	-0.694969698	0.92076108	-0.824335994	-0.266968162	2.24E-02	1.323517382	0.372074563	1.503042735	1.0891504	-0.920555814	-1.658468466	0.943058937	0.411868884	2.565415665	1.033049989	0.306464621	-1.389633677	-0.583404677	0.054666748	-1.231905485	1.378146732	-1.194202408	-0.922001868	-0.245252078
6	0.458914074	0.554179962	-1.718964341	-1.172798988	-0.604641606	-1.60664769	-0.144512762	-0.663690964	-1.736221213	0.514809464	0.47163745	0.315879273	-0.208461793	5.52E-02	0.154999529	1.144634849	-0.609375511	-1.996569979	-2.054281473	-1.243850377	0.964898646	0.757394229	0.179149428	-2.380901464	0.728996007	-0.23802249	2.78E-02	1.031669384	1.634940213	1.408747684	1.259884045	-0.729368203	0.653745362	0.574281524	-0.181897783	-1.050637028	0.594297059	-0.234510907	0.31798183	1.130701135	-1.100420956	-1.332694543	0.869392402	0.419375989	1.765016415	0.320516295	1.105290496	-0.723214458	3.81E-04	1.005207308	1.031639355	0.851690585	0.231580943	-0.330530815	-1.351591778	-0.625804414	-0.686564593	-0.297884762	1.813126784	0.11933188	-6.76E-02	0.624321868
7	-0.734454163	0.383240343	-1.695483651	-1.414128982	-0.826902177	-1.747636395	-0.365709546	-1.550754932	-0.923648199	0.740566029	2.232958485	0.136694227	0.402073879	0.229312261	-0.591470522	0.7450535	0.119174828	-1.723383366	-2.126209296	-0.793723233	-5.30E-02	0.520622576	0.449836693	-1.812555868	0.635015513	0.189217205	0.307928153	1.404418714	2.167486328	1.446969932	1.084208711	8.35E-02	0.281272084	0.334749305	-0.81653761	-0.768363535	0.757213783	0.472127548	-0.151559436	0.749476636	-1.595622102	-0.983967364	0.855488705	0.659232254	1.651631399	0.896575701	1.343758308	0.278688919	1.00E-03	0.916278781	0.346650911	0.606034872	-0.60259762	-0.546005904	-0.24166163	-0.336298516	-0.887707361	-0.792112082	1.354288131	0.357472536	-0.874012058	-0.184705743
8	0.104943149	0.122576351	-1.451762345	-1.077139958	0.255481	-0.184003815	-0.641274307	0.598924124	-0.360073147	0.515379951	1.040925325	-3.31E-02	0.95731888	0.482794574	0.534326507	-1.653148082	0.204507477	0.681851181	0.21746483	0.247374766	0.63505609	0.479345384	0.653117174	-0.831150747	1.736025654	-1.600241627	-1.756924559	0.924120279	-0.306313156	0.130020767	0.800975263	-1.137765942	-0.126214001	1.488686618	-1.189463936	0.382246971	0.25598632	0.123190066	-0.624365301	-0.131874196	-1.12177558	0.616548233	0.614026749	1.323590919	0.491145499	1.851389983	1.637800147	-0.235583755	-2.218818487	0.273804451	1.10E-02	1.96761054	0.691135636	0.478536577	-0.897053735	-0.900798776	-0.463108297	-1.347964609	1.182638634	-2.338329562	-1.563821347	-0.519839274
9	1.160995094	1.025803198	-0.433720286	-0.124210417	-0.429961826	-1.741422797	0.851181455	0.111998044	0.987604661	0.162155492	2.379968285	1.712488481	-0.63673115	-0.732344319	-0.131219585	-0.627130251	0.95055621	-0.100649407	0.318683036	-0.871415972	0.44250069	1.00403069	-1.217377121	-2.418937763	0.420590237	-0.245462339	5.86E-03	1.003318823	1.428222876	1.582940901	1.032908769	2.74E-02	3.82E-02	0.378194779	-0.178202233	-0.642669359	0.793865037	-0.831817716	-1.977302276	0.541215705	-1.023178611	-7.68E-02	-0.94153522	1.613988638	0.883298324	0.72758094	-4.19E-02	-0.502129161	-0.126196628	0.498313569	3.03E-02	1.198842765	0.157583229	-1.135972533	-0.433456604	-2.746758185	-0.668348392	-1.511166278	0.228328467	-0.311457622	-0.663144783	-0.176218943
